,p_id,name,price,colour,brand,brand_id
5870,7744563.0,Belle Fille Women Teal Solid Bomber,2599.0,Teal,Belle Fille,122
5871,7744558.0,Belle Fille Women Navy Blue Solid Quilted Jacket,2999.0,Navy Blue,Belle Fille,122
5872,7744550.0,Belle Fille Women Blue Solid Quilted Jacket,3999.0,Blue,Belle Fille,122
5873,12415438.0,Belle Fille Women Beige Solid Sweatshirt,1899.0,Beige,Belle Fille,122
5874,2248780.0,Belle Fille Women Mustard Yellow Solid Lightweight Bomber Jacket,1599.0,Mustard,Belle Fille,122
5875,12415444.0,Belle Fille Women Charcoal Grey & Black Solid Sweatshirt,1899.0,Charcoal,Belle Fille,122
5876,2248739.0,Belle Fille Women Purple Solid Lightweight Bomber Jacket,1599.0,Purple,Belle Fille,122
5877,2234612.0,Belle Fille Women Grey Solid Lightweight Tailored Jacket,1599.0,Grey,Belle Fille,122
5878,1010455.0,Belle Fille Red Jacket,1599.0,Red,Belle Fille,122
5879,10319725.0,Belle Fille Women Navy Blue Solid Lightweight Jacket,2499.0,Navy Blue,Belle Fille,122
5880,10321451.0,Belle Fille Women Green Solid Tailored Jacket,2499.0,Green,Belle Fille,122
5881,1644110.0,Belle Fille Pink Hooded Jacket,1599.0,Pink,Belle Fille,122
5882,15979794.0,Belle Fille Women Navy Blue Checked Fleece Lightweight Tailored Jacket,2199.0,Navy Blue,Belle Fille,122
5883,7744588.0,Belle Fille Women Navy Blue Solid Padded Jacket,3999.0,Navy Blue,Belle Fille,122
5884,13985762.0,Belle Fille Women Mustard Yellow Solid Regular Fit Paper Bag Shorts,1199.0,Mustard,Belle Fille,122
5885,13985470.0,Belle Fille Women Off-White & Black Printed Flared Maxi Skirt,1799.0,Off White,Belle Fille,122
5886,13985432.0,Belle Fille Women Blue Solid Regular Fit Shorts,1199.0,Blue,Belle Fille,122
5887,12402376.0,Belle Fille Women Burgundy Solid Asymmetric Closure Tailored Jacket,1899.0,Burgundy,Belle Fille,122
5888,10320203.0,Belle Fille Women Maroon Solid Tailored Jacket,2199.0,Maroon,Belle Fille,122
5889,10321385.0,Belle Fille Women Blue Solid Double-Breasted Tailored Jacket,2499.0,Blue,Belle Fille,122
5890,10321507.0,Belle Fille Women Orange Double-Breasted Solid Jacket,2499.0,Orange,Belle Fille,122
5891,10321361.0,Belle Fille Women Pink Solid Tailored Jacket,2499.0,Pink,Belle Fille,122
5892,2248785.0,Belle Fille Women Brown Solid Lightweight Open Front Jacket,1599.0,Brown,Belle Fille,122
5893,2248755.0,Belle Fille Women Purple Solid Lightweight Open Front Jacket,1599.0,Purple,Belle Fille,122
5894,2248745.0,Belle Fille Women Nude-Coloured Solid Lightweight Bomber jacket,1599.0,Nude,Belle Fille,122
5895,2228999.0,Belle Fille Women Red Solid Puffer Jacket,2599.0,Red,Belle Fille,122
5896,2053322.0,Belle Fille Women Maroon Solid Jacket,1999.0,Maroon,Belle Fille,122
5897,10319833.0,Belle Fille Women Blue Solid Hooded Tailored  Jacket,1999.0,Blue,Belle Fille,122
5898,10319819.0,Belle Fille Women Orange Solid Hooded Jacket,1999.0,Orange,Belle Fille,122
5899,10319921.0,Belle Fille Women Black Solid Tailored Jacket,2499.0,Black,Belle Fille,122
5900,10319651.0,Belle Fille Women Blue Solid Hooded Jacket,1999.0,Blue,Belle Fille,122
5901,7275903.0,Belle Fille Women Black Solid Sweatshirt,1699.0,Black,Belle Fille,122
5902,7275895.0,Belle Fille Women Green & Red Colourblocked Sweatshirt,1699.0,Green,Belle Fille,122
5903,7275894.0,Belle Fille Women Green Solid Sweatshirt,1699.0,Green,Belle Fille,122
5904,2053475.0,Belle Fille Women Navy Blue Solid Bomber Jacket,1599.0,Navy Blue,Belle Fille,122
5905,18887642.0,Sanwara White Ethnic Motifs Woven Design Pure Silk Dupatta with Zari,2149.0,White,Sanwara,777
5906,17084614.0,Sanwara Red & Green Ethnic Motifs Printed Tusser Silk Dupatta,1050.0,Red,Sanwara,777
5907,17084466.0,Sanwara Off White & Gold-Toned Woven Design Pure Silk Dupatta with Zari,1219.0,Off White,Sanwara,777
5908,17084426.0,Sanwara White Woven Design Dupatta with Mirror Work,2399.0,White,Sanwara,777
5909,17084446.0,Sanwara Women White & Red Printed Pure Silk Dupatta,1050.0,White,Sanwara,777
5910,13354408.0,The Dry State Women Purple Solid Shirt Collar Cropped Basic Jumpsuit,1999.0,Purple,The Dry State,882
5911,16636560.0,The Dry State Turquoise Blue Shirt Collar Basic Jumpsuit,1999.0,Turquoise Blue,The Dry State,882
5912,18369880.0,The Dry State Women Black & White Printed Shrug,1499.0,Black,The Dry State,882
5913,16002144.0,The Dry State Women Black Snake Printed Fleece Hooded Crop Sweatshirt,2299.0,Black,The Dry State,882
5914,13614966.0,The Dry State Black & Yellow Floral Print Puff Sleeves Styled Back Crop Top,1499.0,Black,The Dry State,882
5915,12900742.0,The Dry State Women Olive Green & Yellow Colorblocked Open Front Corduroy Jacket,2499.0,Olive,The Dry State,882
5916,12900740.0,The Dry State Women Navy Blue & Pink Colourblocked Open Front Corduroy Jacket,2499.0,Navy Blue,The Dry State,882
5917,13614956.0,The Dry State Women Black & Pink Floral Printed Cropped Shirt Style Top,1499.0,Black,The Dry State,882
5918,15616452.0,The Dry State Women Peach-Coloured Hooded Sweatshirt,1999.0,Peach,The Dry State,882
5919,18230562.0,The Dry State Women Blue High-Rise Stretchable Bell Bottom Jeans,2499.0,Blue,The Dry State,882
5920,13515226.0,The Dry State Women Red Solid Pure Cotton Regular Fit Regular Shorts,1299.0,Red,The Dry State,882
5921,14225456.0,The Dry State Women Green Solid Loose Fit Sports Shorts,1299.0,Green,The Dry State,882
5922,14225458.0,The Dry State Women Black Solid Regular Shorts,1299.0,Black,The Dry State,882
5923,13515222.0,The Dry State Women Fluorescent Green Solid Pure Cotton Regular Fit Regular Shorts,1299.0,Fluorescent Green,The Dry State,882
5924,12381394.0,The Dry State Women Burgundy Solid Basic Jumpsuit,1999.0,Burgundy,The Dry State,882
5925,13883906.0,The Dry State Women Olive Solid Loose Fit Shorts,1799.0,Olive,The Dry State,882
5926,14357542.0,The Dry State Women Pack of 2 Multi Mid-Rise Sports Shorts,1999.0,Multi,The Dry State,882
5927,14375954.0,The Dry State Women Pack of 2 Multicoloured Solid Regular Fit Regular Shorts,1999.0,Multi,The Dry State,882
5928,14380984.0,The Dry State Women Pack Of 2 Solid Cotton Regular Fit Training Shorts,1999.0,Lime Green,The Dry State,882
5929,14963508.0,The Dry State Women Multicoloured Striped Cropped Ruffled Basic Jumpsuit with Belt,2299.0,Multi,The Dry State,882
5930,15212914.0,The Dry State Women Black Skeleton Print Sweatshirt,2799.0,Black,The Dry State,882
5931,17144670.0,Camey Women White Self-Design Sheer Open Front Shrug,999.0,White,Camey,160
5932,18232318.0,Camey Women Red Striped Capri Jumpsuit,1299.0,Red,Camey,160
5933,18232322.0,Camey Green Striped Culotte Jumpsuit with Lace Inserts,1299.0,Green,Camey,160
5934,17118780.0,Camey Women Green Solid Maxi Skirt,999.0,Green,Camey,160
5935,8897195.0,Camey Women Maroon Straight Fit Solid Culottes,899.0,Maroon,Camey,160
5936,15453336.0,Qurvii Women White & Black Printed Longline Shrug,2195.0,White,Qurvii,717
5937,15453306.0,Qurvii Brown Animal Printed Skirt With Slit,2195.0,Brown,Qurvii,717
5938,11401294.0,Qurvii Plus Size Women Burgundy Semi-Sheer Self Design Top,2495.0,Burgundy,Qurvii,717
5939,17536152.0,Qurvii Women Red Top with Lace Insert Detail,2495.0,Red,Qurvii,717
5940,15235692.0,Qurvii Women Multicoloured Striped Flared Mini Skirt,2195.0,Multi,Qurvii,717
5941,17536138.0,Qurvii Women Pink Keyhole Neck Georgette Top,2695.0,Pink,Qurvii,717
5942,13717996.0,Qurvii Black Maxi A-Line Skirt,2400.0,Black,Qurvii,717
5943,15816496.0,Fabindia Pink Yoke Design V-Neck Kurti,2799.0,Pink,Fabindia,278
5944,14987382.0,Fabindia Mustard Yellow Pure Cotton Regular Top,690.0,Mustard,Fabindia,278
5945,17409766.0,Fabindia Girls Teal & Gold-Toned Ready to Wear Lehenga & Choli,2599.0,Teal,Fabindia,278
5946,17348268.0,Fabindia Off White Chikankari Embroidered Cotton Silk Dupatta,3199.0,Off White,Fabindia,278
5947,15816572.0,Fabindia Women Grey Solid Ethnic Top,2999.0,Grey,Fabindia,278
5948,15816556.0,Fabindia Women Teal Blue Solid Embellished Kurti,2199.0,Teal,Fabindia,278
5949,17348086.0,Fabindia Blue & Silver-Toned Woven Design Cotton Silk Dupatta,2499.0,Blue,Fabindia,278
5950,16071640.0,Fabindia Women Pink Printed Front Open Shrug,1999.0,Pink,Fabindia,278
5951,16071630.0,Fabindia Women Cream-Coloured & Pink Printed Shrug,1999.0,Cream,Fabindia,278
5952,16071622.0,Fabindia Women Pink & Cream-Coloured Printed Cotton Linen Shrug,1999.0,Pink,Fabindia,278
5953,17104290.0,Fabindia Green & Blue Ethnic Motifs Block Printed Cotton Silk Dupatta with Zari,2299.0,Green,Fabindia,278
5954,17104328.0,Fabindia Peach-Coloured & Turquoise Blue Embroidered Cotton Silk Dupatta with Kantha Work,2199.0,Peach,Fabindia,278
5955,17104268.0,Fabindia Beige & Red Embroidered Cotton Silk Dupatta with Kantha Work,2199.0,Beige,Fabindia,278
5956,17392250.0,Fabindia Women Red Embroidered Crop Shrug,2999.0,Red,Fabindia,278
5957,16012518.0,Fabindia Women Beige Striped Cotton Kurta,3990.0,Beige,Fabindia,278
5958,1435249.0,Fabindia Multicoloured Handblock Print Top,1490.0,Multi,Fabindia,278
5959,16012538.0,Fabindia Blue & White Embroidered Tunic,2790.0,Blue,Fabindia,278
5960,16012536.0,Fabindia Blue Embroidered Tunic,2690.0,Blue,Fabindia,278
5961,16012516.0,Fabindia Women Pink Striped Straight Silk Tunic,2990.0,Pink,Fabindia,278
5962,15737980.0,Fabindia Pink Silk Tunic With Jacket,3990.0,Pink,Fabindia,278
5963,15737960.0,Fabindia Grey Silk Striped Tunic,3990.0,Grey,Fabindia,278
5964,15737958.0,Fabindia Woman Pink & Beige Silk Organza Tunic,3990.0,Pink,Fabindia,278
5965,15816452.0,Fabindia Pink & Golden Pure Cotton Handblock Print Top,999.0,Pink,Fabindia,278
5966,17103264.0,Fabindia Women White & Blue Printed Top with Shorts,1799.0,White,Fabindia,278
5967,17268136.0,Fabindia Pink Off White & Pink Mandarin Collar Pure Cotton Slub Shirt Style Top,999.0,Off White,Fabindia,278
5968,15816546.0,Fabindia Women Pink Ethnic Motifs Printed Kurta,1999.0,Pink,Fabindia,278
5969,17394090.0,Fabindia Women Black Solid Cotton Linen Culottes Trousers,1599.0,Black,Fabindia,278
5970,17330080.0,Fabindia Turquoise Blue & Grey Woven Design Jamdani Saree,6999.0,Turquoise Blue,Fabindia,278
5971,15816504.0,Fabindia Red & Golden Ethnic Print Hand Embroidered Tunic,4399.0,Red,Fabindia,278
5972,13697612.0,Fabindia Peach-Coloured & Off-White Chevron Patterned Smocked Linen Cropped Top,1490.0,Peach,Fabindia,278
5973,17394006.0,Fabindia Women Off-White Cotton Silk Cropped Parallel Trousers,1999.0,Off White,Fabindia,278
5974,17391766.0,Fabindia Maroon & Rust Paisley Block Printed Shirt Collar Cotton A-line Kurti,1599.0,Maroon,Fabindia,278
5975,17391450.0,Fabindia Women Navy Blue Floral Reversible Longline Quilted Jacket,7999.0,Navy Blue,Fabindia,278
5976,17625016.0,Fabindia Women Off White Cotton Trousers,1899.0,Off White,Fabindia,278
5977,17467410.0,Fabindia Women Black & Brown Printed Tailored Jacket,2299.0,Black,Fabindia,278
5978,17467404.0,Fabindia Black Printed Crop Denim Jacket,2299.0,Black,Fabindia,278
5979,14987406.0,Fabindia White & Blue Conversational Printed Shoulder Strap Regular Top,690.0,White,Fabindia,278
5980,17391422.0,Fabindia Women Black Woolen Tailored Jacket,4299.0,Black,Fabindia,278
5981,14202894.0,Fabindia Women Yellow & Red Cotton Hand Block Printed Top with Shorts,1390.0,Yellow,Fabindia,278
5982,17348192.0,Fabindia Red Embroidered Cotton Silk Chikankari Dupatta,2899.0,Red,Fabindia,278
5983,15669616.0,Fabindia Green & Mustard Yellow Cotton Ruffle Ethnic Hand Block Print Top,1299.0,Green,Fabindia,278
5984,17103236.0,Fabindia Women Navy Blue & White Printed A-Line Skirt,2999.0,Navy Blue,Fabindia,278
5985,16031000.0,Fabindia Black & Gold-Toned Woven Design Cotton Silk Dupatta,4599.0,Black,Fabindia,278
5986,17348226.0,Fabindia Magenta & Gold-Toned Woven Design Cotton Silk Dupatta,2999.0,Magenta,Fabindia,278
5987,16030928.0,Fabindia Beige & Silver-Toned Striped Pure Silk Dupatta,2999.0,Beige,Fabindia,278
5988,16030982.0,Fabindia Beige Ethnic Motifs Woven Design Cotton Silk Dupatta,2599.0,Beige,Fabindia,278
5989,17348528.0,Fabindia Women Red & Blue Floral Printed Regular Fit Trousers,1799.0,Red,Fabindia,278
5990,16015064.0,Fabindia Blue & Gold-Toned Printed Cotton Silk Dupatta,2590.0,Blue,Fabindia,278
5991,16015044.0,Fabindia Women Maroon & Pink Ikat Printed Pure Cotton Dupatta,1590.0,Maroon,Fabindia,278
